,underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code,dte_days,buckets,T,D,F,mid,spread,Ctilde,iv,vega,k,w_base
38,SPY,2023-08-25,SPY,2023-09-01,375.0,C,0.0,0.0,0.0,0.0,0,10,66.13,10,66.37,440.78,440.8,0.0,440.79,0.0,0.9894,0.0009,-0.0427,0.0177,0.0693,44,64.91,25,66.08,440.04,440.07,0.0,312,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,66.25,0.2400000000000091,66.05607380966397,0.35373184425525916,0.09323231230282811,-0.162240500910577,0.15090736210644817
40,SPY,2023-08-25,SPY,2023-09-01,376.0,C,0.0,0.0,0.0,0.0,0,10,65.13,10,65.36,440.78,440.8,0.0,440.79,0.0,0.9909,0.0008,-0.0342,0.0156,0.0696,25,63.92,88,65.12,440.04,440.07,0.0,5,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,65.245,0.23000000000000398,65.05401563338152,0.30726781056544683,0.019867067475031662,-0.15957738349109338,0.007461254632465922
42,SPY,2023-08-25,SPY,2023-09-01,377.0,C,0.0,0.0,0.0,0.0,0,20,64.13,10,64.37,440.78,440.8,0.0,440.79,0.0,0.9886,0.001,-0.0459,0.0189,0.0697,25,62.92,25,64.08,440.04,440.07,0.0,3,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,64.25,0.2400000000000091,64.06192818522129,0.3782180966216363,0.2532241618051688,-0.15692133943297706,1.1132374326723171
44,SPY,2023-08-25,SPY,2023-09-01,378.0,C,0.0,0.0,0.0,0.0,0,20,63.13,10,63.37,440.78,440.8,0.0,440.79,0.0,0.9885,0.001,-0.0455,0.019,0.0698,25,61.92,25,63.1,440.04,440.07,0.0,2,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,63.25,0.23999999999999488,63.06485537299994,0.3824477050263683,0.32416337196195605,-0.15427233126140022,1.824338397947048
46,SPY,2023-08-25,SPY,2023-09-01,379.0,C,0.0,0.0,0.0,0.0,0,10,62.14,10,62.38,440.78,440.8,0.0,440.79,0.0,0.9884,0.001,-0.0451,0.0192,0.0701,25,60.92,25,62.1,440.04,440.07,0.0,10,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,62.260000000000005,0.240000000000002,62.07775328890082,0.40513382370978873,0.5856392290647291,-0.1516303217985615,5.954397684366746
48,SPY,2023-08-25,SPY,2023-09-01,380.0,C,60.05,60.11,60.05,60.11,14,10,61.14,10,61.38,440.78,440.8,0.0,440.79,0.0,0.9883,0.001,-0.0447,0.0193,0.0703,25,59.92,25,61.08,440.04,440.07,60.0543,318,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,61.260000000000005,0.240000000000002,61.080680476679476,0.4034747350307845,0.6459968521857837,-0.14899527416055633,7.244998837394695
50,SPY,2023-08-25,SPY,2023-09-01,381.0,C,58.28,58.28,58.28,58.28,2,10,60.14,10,60.37,440.78,440.8,0.0,440.79,0.0,0.9898,0.001,-0.0364,0.0172,0.0706,25,58.93,25,60.09,440.04,440.07,58.28,4,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,60.254999999999995,0.22999999999999687,60.07862230039702,0.3938004972543532,0.6175750149884579,-0.14636715175428688,7.209809057429195
52,SPY,2023-08-25,SPY,2023-09-01,382.0,C,0.0,0.0,0.0,0.0,0,20,59.14,10,59.38,440.78,440.8,0.0,440.79,0.0,0.9874,0.0011,-0.0478,0.0207,0.0706,25,57.93,25,59.09,440.04,440.07,0.0,8,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,59.260000000000005,0.240000000000002,59.086534852236795,0.3988021998696784,0.7662710101742559,-0.1437459182744126,10.19394550405321
54,SPY,2023-08-25,SPY,2023-09-01,383.0,C,0.0,0.0,0.0,0.0,0,10,58.15,10,58.38,440.78,440.8,0.0,440.79,0.0,0.9873,0.0012,-0.0474,0.0208,0.0709,25,56.93,25,58.11,440.04,440.07,0.0,9,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,58.265,0.23000000000000398,58.094447404076554,0.4016705473492111,0.9081347022590692,-0.14113153770034187,15.589955339265403
56,SPY,2023-08-25,SPY,2023-09-01,384.0,C,0.0,0.0,0.0,0.0,0,10,57.15,10,57.39,440.78,440.8,0.0,440.79,0.0,0.9872,0.0012,-0.0471,0.021,0.0711,44,55.93,25,57.11,440.04,440.07,0.0,11,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,57.269999999999996,0.240000000000002,57.10235995591631,0.4030703311855625,1.0452702839940702,-0.13852397429326094,18.96857580904559
