,underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code,dte_days,buckets
0,SPY,2023-08-25,SPY,2023-09-01,300.0,C,0.0,0.0,0.0,0.0,0,10,141.01,10,141.25,440.78,440.8,0.0,440.79,0.0,0.9965,0.0002,-0.0177,0.0066,0.0532,25,139.79,25,140.97,440.04,440.07,0.0,31,,7,7D
1,SPY,2023-08-25,SPY,2023-09-01,300.0,P,0.0,0.0,0.0,0.0,0,0,0.0,6786,0.01,440.78,440.8,0.0,440.79,0.8437,-0.0004,0.0,-0.0034,0.0009,-0.0,0,0.0,6066,0.01,440.04,440.07,0.0,10703,,7,7D
2,SPY,2023-08-25,SPY,2023-09-01,305.0,C,0.0,0.0,0.0,0.0,0,10,136.01,10,136.26,440.78,440.8,0.0,440.79,0.0,0.9962,0.0002,-0.0206,0.0072,0.0542,25,134.8,25,135.98,440.04,440.07,0.0,11,,7,7D
3,SPY,2023-08-25,SPY,2023-09-01,305.0,P,0.0,0.0,0.0,0.0,0,0,0.0,6773,0.01,440.78,440.8,0.0,440.79,0.8097,-0.0004,0.0,-0.0034,0.0009,-0.0,0,0.0,5960,0.01,440.04,440.07,0.0,1464,,7,7D
4,SPY,2023-08-25,SPY,2023-09-01,310.0,C,127.08,127.08,127.08,127.08,1,10,131.02,10,131.26,440.78,440.8,0.0,440.79,0.0,0.9958,0.0002,-0.0234,0.0078,0.0553,25,129.81,25,130.97,440.04,440.07,127.08,7,,7,7D
5,SPY,2023-08-25,SPY,2023-09-01,310.0,P,0.0,0.0,0.0,0.0,0,0,0.0,6631,0.01,440.78,440.8,0.0,440.79,0.7761,-0.0004,0.0,-0.0034,0.001,-0.0,0,0.0,5816,0.01,440.04,440.07,0.0,5180,,7,7D
6,SPY,2023-08-25,SPY,2023-09-01,315.0,C,0.0,0.0,0.0,0.0,0,10,126.03,10,126.26,440.78,440.8,0.0,440.79,0.0,0.9968,0.0002,-0.0119,0.0062,0.0565,44,124.81,25,125.98,440.04,440.07,0.0,8,,7,7D
7,SPY,2023-08-25,SPY,2023-09-01,315.0,P,0.0,0.0,0.0,0.0,0,0,0.0,6489,0.01,440.78,440.8,0.0,440.79,0.743,-0.0005,0.0,-0.0034,0.001,-0.0,0,0.0,5627,0.01,440.04,440.07,0.0,6860,,7,7D
8,SPY,2023-08-25,SPY,2023-09-01,320.0,C,0.0,0.0,0.0,0.0,0,10,121.04,10,121.28,440.78,440.8,0.0,440.79,0.0,0.9955,0.0002,-0.0242,0.0083,0.0575,25,119.82,25,121.0,440.04,440.07,0.0,25,,7,7D
9,SPY,2023-08-25,SPY,2023-09-01,320.0,P,0.01,0.01,0.01,0.01,211,0,0.0,6124,0.01,440.78,440.8,0.0,440.79,0.7104,-0.0005,0.0,-0.0034,0.001,-0.0,0,0.0,5406,0.01,440.04,440.07,0.01,2696,,7,7D
10,SPY,2023-08-25,SPY,2023-09-01,325.0,C,0.0,0.0,0.0,0.0,0,10,116.04,10,116.28,440.78,440.8,0.0,440.79,0.0,0.995,0.0003,-0.027,0.009,0.0585,25,114.83,25,115.99,440.04,440.07,0.0,68,,7,7D
11,SPY,2023-08-25,SPY,2023-09-01,325.0,P,0.01,0.01,0.01,0.01,59,1,0.01,10221,0.02,440.78,440.8,0.0,440.79,0.74,-0.0012,0.0001,-0.0093,0.0025,-0.0001,0,0.0,5078,0.01,440.04,440.07,0.01,1235,,7,7D
12,SPY,2023-08-25,SPY,2023-09-01,330.0,C,0.0,0.0,0.0,0.0,0,10,111.05,10,111.29,440.78,440.8,0.0,440.79,0.0,0.9951,0.0003,-0.0251,0.009,0.0597,25,109.84,88,111.04,440.04,440.07,0.0,11,,7,7D
13,SPY,2023-08-25,SPY,2023-09-01,330.0,P,0.01,0.01,0.01,0.01,212,200,0.01,9821,0.02,440.78,440.8,0.0,440.79,0.7057,-0.0013,0.0001,-0.0093,0.0026,-0.0001,0,0.0,4818,0.01,440.04,440.07,0.01,2672,,7,7D
14,SPY,2023-08-25,SPY,2023-09-01,335.0,C,0.0,0.0,0.0,0.0,0,10,106.06,10,106.3,440.78,440.8,0.0,440.79,0.0,0.9946,0.0003,-0.0278,0.0098,0.0608,25,104.84,25,106.01,440.04,440.07,0.0,76,,7,7D
15,SPY,2023-08-25,SPY,2023-09-01,335.0,P,0.01,0.01,0.01,0.01,152,0,0.0,4148,0.01,440.78,440.8,0.0,440.79,0.6151,-0.0005,0.0001,-0.0034,0.0012,-0.0,0,0.0,3775,0.01,440.04,440.07,0.01,2476,,7,7D
16,SPY,2023-08-25,SPY,2023-09-01,340.0,C,0.0,0.0,0.0,0.0,0,10,101.07,10,101.31,440.78,440.8,0.0,440.79,0.0,0.9941,0.0004,-0.0304,0.0106,0.0618,25,99.85,25,101.03,440.04,440.07,0.0,17,,7,7D
17,SPY,2023-08-25,SPY,2023-09-01,340.0,P,0.01,0.01,0.01,0.01,32,3634,0.01,6383,0.02,440.78,440.8,0.0,440.79,0.6383,-0.0014,0.0001,-0.0092,0.0029,-0.0001,0,0.0,2340,0.01,440.04,440.07,0.01,3580,,7,7D
18,SPY,2023-08-25,SPY,2023-09-01,345.0,C,0.0,0.0,0.0,0.0,0,20,96.07,10,96.31,440.78,440.8,0.0,440.79,0.0,0.9935,0.0004,-0.0329,0.0115,0.0629,25,94.86,25,96.04,440.04,440.07,0.0,280,,7,7D
19,SPY,2023-08-25,SPY,2023-09-01,345.0,P,0.02,0.02,0.02,0.02,30,4003,0.01,6266,0.02,440.78,440.8,0.0,440.79,0.6052,-0.0015,0.0001,-0.0091,0.003,-0.0001,360,0.01,5127,0.02,440.04,440.07,0.02,1402,,7,7D
20,SPY,2023-08-25,SPY,2023-09-01,350.0,C,0.0,0.0,0.0,0.0,0,10,91.08,10,91.32,440.78,440.8,0.0,440.79,0.0,0.9929,0.0005,-0.0354,0.0124,0.064,25,89.87,25,91.03,440.04,440.07,0.0,49,,7,7D
21,SPY,2023-08-25,SPY,2023-09-01,350.0,P,0.02,0.03,0.01,0.03,501,5642,0.01,5203,0.02,440.78,440.8,0.0,440.79,0.5725,-0.0016,0.0001,-0.0091,0.0032,-0.0001,1876,0.01,5193,0.02,440.04,440.07,0.0201,2257,,7,7D
22,SPY,2023-08-25,SPY,2023-09-01,355.0,C,85.28,85.28,85.28,85.28,4,10,86.09,10,86.33,440.78,440.8,0.0,440.79,0.0,0.9928,0.0005,-0.0336,0.0125,0.0651,44,84.88,25,86.04,440.04,440.07,85.28,161,,7,7D
23,SPY,2023-08-25,SPY,2023-09-01,355.0,P,0.02,0.03,0.02,0.02,1069,6207,0.01,4676,0.02,440.78,440.8,0.0,440.79,0.5402,-0.0017,0.0002,-0.0091,0.0034,-0.0001,3499,0.01,4776,0.02,440.04,440.07,0.0201,5060,,7,7D
24,SPY,2023-08-25,SPY,2023-09-01,360.0,C,0.0,0.0,0.0,0.0,0,10,81.1,10,81.34,440.78,440.8,0.0,440.79,0.0,0.9921,0.0006,-0.036,0.0137,0.0662,44,79.88,25,80.93,440.04,440.07,0.0,54,,7,7D
